"name","gender","income"
"Timothy Clark","Female","50000"
"Daniel Lopez","Female","17500"
"Daniel Lopez","Female","17500"
"Theresa Murphy","Female","37500"
"Danielle Rasmussen","Female","17500"
"Danielle Rasmussen","Female","17500"
"Randall Ross","Female","17500"
"Randall Ross","Female","17500"
"Randall Ross","Female","17500"
"Christopher Williams","Male","17500"
"Christopher Williams","Male","17500"
"Christopher Williams","Male","17500"
"Keith Sheppard","Male","50000"
"Keith Sheppard","Male","50000"
"Kathy Yates","Male","50000"
"Kathy Yates","Male","50000"
"Kathy Yates","Male","50000"
"Jamie White","Male","37500"
"Jamie White","Male","37500"
"Erin Torres","Male","17500"
"Erin Torres","Male","17500"
"Sara Davis","Female","50000"
"Sara Davis","Female","50000"
"Michael Williams","Female","17500"
"Carrie Evans","Female","37500"
"Daniel Russell","Male","17500"
"Daniel Russell","Male","17500"
"Amy Kennedy","Female","37500"
"Amy Kennedy","Female","37500"
"Jeffrey Lawrence","Male","17500"
"Brian Kennedy","Male","37500"
"Brian Kennedy","Male","37500"
"Howard White","Female","17500"
"Howard White","Female","17500"
"Howard White","Female","17500"
"Lauren Swanson","Female","17500"
"Lauren Swanson","Female","17500"
"Rachel Cole","Male","50000"
"Tiffany Sanders","Male","17500"
"Michele Sparks","Female","37500"
"Christopher Lawrence","Male","50000"
"Yvonne Jefferson","Female","37500"
"Yvonne Jefferson","Female","37500"
"Sabrina Skinner","Male","37500"
"Sabrina Skinner","Male","37500"
"Sabrina Skinner","Male","37500"
"Sabrina Skinner","Male","37500"
"Gabriel Gonzalez","Female","37500"
"Gabriel Gonzalez","Female","37500"
"Gabriel Gonzalez","Female","37500"
"Jake Smith","Male","50000"
"Tyler Mcgee","Male","50000"
"Leslie Williams","Female","37500"
"Leslie Williams","Female","37500"
"Leslie Williams","Female","37500"
"Vincent Beck","Male","50000"
"Vincent Beck","Male","50000"
"Vincent Beck","Male","50000"
"Angela Fletcher","Female","50000"
"Angela Fletcher","Female","50000"
"Alejandra Hansen","Female","37500"
"Joseph Davis","Male","37500"
"Joseph Davis","Male","37500"
"Zachary Martin","Female","50000"
"Zachary Martin","Female","50000"
"Donald Gould","Male","37500"
"Donald Gould","Male","37500"
"Donald Gould","Male","37500"
"Gabrielle Hudson","Male","50000"
"Michelle Poole","Male","17500"
"Michelle Poole","Male","17500"
"Michelle Poole","Male","17500"
"David Robinson","Female","17500"
"David Robinson","Female","17500"
"David Edwards","Male","37500"
"David Edwards","Male","37500"
"Kari Smith","Male","50000"
"Kari Smith","Male","50000"
"Kari Smith","Male","50000"
"Mary Gutierrez","Male","50000"
"Deborah Huff","Male","17500"
"Deborah Huff","Male","17500"
"Jacob Adams","Male","37500"
"Cassandra Mendoza","Female","37500"
"Cassandra Mendoza","Female","37500"
"Antonio Alvarez","Male","50000"
"Antonio Alvarez","Male","50000"
"Antonio Alvarez","Male","50000"
"Marcus Cox","Male","50000"
"Marcus Cox","Male","50000"
"Marcus Cox","Male","50000"
"Marcus Cox","Male","50000"
"Adrian Harris","Female","17500"
"Adrian Harris","Female","17500"
"Veronica Miller","Male","50000"
"Veronica Miller","Male","50000"
"Sarah Schaefer","Female","37500"
"Cassie Collins","Female","50000"
"Cassie Collins","Female","50000"
"Cassie Collins","Female","50000"
"Heidi Hernandez","Female","37500"
"Joseph Stevens","Male","50000"
"Joseph Stevens","Male","50000"
"Alexandra Cox","Male","17500"
"Alexandra Cox","Male","17500"
"Billy Ayala","Female","37500"
"Billy Ayala","Female","37500"
"Billy Ayala","Female","37500"
"Dr. Nathaniel Sanchez","Male","50000"
"Devon Gonzales","Male","37500"
"Devon Gonzales","Male","37500"
"Erik Richard","Female","50000"
"Erik Richard","Female","50000"
"Erik Richard","Female","50000"
"Amy Wright","Female","50000"
"Amy Wright","Female","50000"
"Amy Wright","Female","50000"
"Amy Wright","Female","50000"
"Charles Salinas","Female","37500"
"Charles Salinas","Female","37500"
"Lisa Logan","Male","50000"
"Gregory Rodriguez","Male","37500"
"Nichole Burnett","Male","50000"
"Nichole Burnett","Male","50000"
"Antonio Silva","Female","37500"
"Daniel Burns","Male","17500"
"Daniel Burns","Male","17500"
"Elizabeth Lee","Female","17500"
"Elizabeth Lee","Female","17500"
"Elizabeth Lee","Female","17500"
"Elizabeth Lee","Female","17500"
"Jason Flores","Male","17500"
"Jason Flores","Male","17500"
"William Wheeler","Male","17500"
"William Wheeler","Male","17500"
"William Wheeler","Male","17500"
"Mark Smith","Female","37500"
"Mark Smith","Female","37500"
"Mark Smith","Female","37500"
"Zoe Clark","Male","17500"
"Michael Ingram","Male","17500"
"Kelly Nash","Female","17500"
"Kelly Nash","Female","17500"
"Kelly Nash","Female","17500"
"John Haney","Male","37500"
"Sarah Berg","Male","50000"
"Sarah Berg","Male","50000"
"Sarah Berg","Male","50000"
"Kevin Myers","Female","37500"
"Kevin Myers","Female","37500"
"Patricia Hanson","Male","50000"
"Patricia Hanson","Male","50000"
"Patricia Hanson","Male","50000"
"Colleen Walker","Male","37500"
"Colleen Walker","Male","37500"
"Katie Dominguez","Male","50000"
"Katie Dominguez","Male","50000"
"Claire Berg","Male","37500"
"Claire Berg","Male","37500"
"Claire Berg","Male","37500"
"Audrey Adams","Male","50000"
"Kathleen Jones","Male","50000"
"Kristopher Johnson","Female","37500"
"Kristopher Johnson","Female","37500"
"Eric Ford","Female","37500"
"Eric Ford","Female","37500"
"Erica Hill","Male","17500"
"Chad Brown","Male","50000"
"Carrie Burns","Male","37500"
"Carrie Burns","Male","37500"
"Roy Hernandez","Female","37500"
"Roy Hernandez","Female","37500"
"Roy Hernandez","Female","37500"
"Roy Hernandez","Female","37500"
"Roy Hernandez","Female","37500"
"Casey Rice","Male","50000"
"Casey Rice","Male","50000"
"Michael Sanchez","Female","37500"
"Dawn Graves","Female","17500"
"Dr. Heather Johnson","Male","50000"
"Brad Lucas","Female","37500"
"Brad Lucas","Female","37500"
"Felicia Meyers","Male","17500"
"Felicia Meyers","Male","17500"
"Felicia Meyers","Male","17500"
"Felicia Meyers","Male","17500"
"Ariel Cannon","Male","37500"
"Ariel Cannon","Male","37500"
"Ariel Cannon","Male","37500"
"Kari Collins","Male","37500"
"Kari Collins","Male","37500"
"Kari Collins","Male","37500"
"Jeremy Bush","Male","50000"
"Jeremy Bush","Male","50000"
"Jeremy Bush","Male","50000"
"Nancy Lopez","Female","17500"
"Joshua Wolf","Female","17500"
"Joshua Wolf","Female","17500"
"Patty Arnold","Female","17500"
"Brooke Zuniga","Female","37500"
"Brooke Zuniga","Female","37500"
"Brooke Zuniga","Female","37500"
"Deborah Norton","Female","50000"
"Deborah Norton","Female","50000"
"Jessica Little","Female","37500"
"Andrew Patrick","Female","37500"
"Andrew Patrick","Female","37500"
"Andrew Patrick","Female","37500"
"Andrew Patrick","Female","37500"
"Andrew Patrick","Female","37500"
"Andrew Patrick","Female","37500"
"Larry Miranda","Male","17500"
"Mary Dyer","Male","50000"
"Kevin Harris","Female","17500"
"Kevin Harris","Female","17500"
"Christopher Davis","Male","37500"
"Teresa Downs","Male","50000"
"Nancy Roberts","Female","37500"
"Donald Morton","Male","50000"
"Donald Morton","Male","50000"
"Donald Morton","Male","50000"
"Kevin Martin","Male","37500"
"Joshua Rogers","Male","37500"
"Rose Pugh","Male","50000"
"Rose Pugh","Male","50000"
"Ryan Hinton","Female","37500"
"Cynthia Edwards","Male","50000"
"Cynthia Edwards","Male","50000"
"Mitchell Walker","Male","37500"
"Robert Ramirez","Male","50000"
"Robert Ramirez","Male","50000"
"Audrey Rosario","Female","37500"
"Audrey Rosario","Female","37500"
"Audrey Rosario","Female","37500"
"Audrey Rosario","Female","37500"
"Diane Murray","Male","37500"
"Richard Wilkinson","Male","37500"
"Robert Price","Male","17500"
"Robert Price","Male","17500"
"Christopher Navarro","Male","50000"
"Christopher Navarro","Male","50000"
"Melissa Baker","Male","37500"
"Melissa Baker","Male","37500"
"Melissa Martin","Male","50000"
"Melissa Martin","Male","50000"
"Melissa Martin","Male","50000"
"Veronica Scott","Female","37500"
"Dr. Cassandra Jacobs","Male","17500"
"Matthew Klein","Female","17500"
"Matthew Klein","Female","17500"
"Misty Ryan","Male","37500"
"Misty Ryan","Male","37500"
"Misty Ryan","Male","37500"
"Bailey Ford","Male","50000"
"Nicholas Lane","Female","37500"
"Margaret Rodriguez","Male","50000"
"Margaret Rodriguez","Male","50000"
"Eddie Moore","Male","37500"
"Travis Hayes DDS","Male","37500"
"Paul Ferrell","Male","50000"
"Paul Ferrell","Male","50000"
"Paul Ferrell","Male","50000"
"Melissa Olson","Male","37500"
"Melissa Olson","Male","37500"
"Ashley Young","Male","50000"
"Ashley Young","Male","50000"
"Casey Martinez","Male","50000"
"Casey Martinez","Male","50000"
"Casey Martinez","Male","50000"
"Sydney Stokes","Female","50000"
"Mrs. Gloria Rivas DVM","Female","50000"
"Vicki Fritz","Female","17500"
"Vicki Fritz","Female","17500"
"Kathryn Le","Female","37500"
"Erica Patterson","Female","17500"
"Valerie Beasley","Female","17500"
"Jonathan Vasquez","Male","50000"
"Marc Todd","Female","17500"
"Tiffany Martinez","Male","17500"
"Tiffany Martinez","Male","17500"
"Tiffany Martinez","Male","17500"
"Kimberly Brown","Male","50000"
